company_id,company_name,price,prognost,date,quantity,sales,month
P000,Компания 0,627.33,481.16,2023-10-06,260,163105.80000000002,10
P000,Компания 0,627.33,481.16,2023-08-25,131,82180.23000000001,8
P000,Компания 0,627.33,481.16,2023-05-15,324,203254.92,5
P000,Компания 0,627.33,481.16,2023-11-08,95,59596.350000000006,11
P000,Компания 0,627.33,481.16,2023-04-30,323,202627.59000000003,4
P000,Компания 0,627.33,481.16,2023-04-30,396,248422.68000000002,4
P000,Компания 0,627.33,481.16,2023-08-23,372,233366.76,8
P000,Компания 0,627.33,481.16,2023-09-15,460,288571.80000000005,9
P000,Компания 0,627.33,481.16,2023-11-05,366,229602.78000000003,11
P000,Компания 0,627.33,481.16,2023-05-23,202,126720.66,5
P000,Компания 0,627.33,481.16,2023-09-04,427,267869.91000000003,9
P000,Компания 0,627.33,481.16,2023-12-13,86,53950.380000000005,12
P000,Компания 0,627.33,481.16,2023-03-30,264,165615.12000000002,3
P000,Компания 0,627.33,481.16,2023-07-06,126,79043.58,7
P000,Компания 0,627.33,481.16,2023-01-03,4,2509.32,1
P000,Компания 0,627.33,481.16,2023-05-01,187,117310.71,5
P000,Компания 0,627.33,481.16,2023-03-06,188,117938.04000000001,3
P000,Компания 0,627.33,481.16,2023-02-18,189,118565.37000000001,2
P000,Компания 0,627.33,481.16,2023-08-16,286,179416.38,8
P000,Компания 0,627.33,481.16,2023-11-08,172,107900.76000000001,11
P000,Компания 0,627.33,481.16,2023-01-14,70,43913.100000000006,1
P000,Компания 0,627.33,481.16,2023-01-21,167,104764.11,1
P000,Компания 0,627.33,481.16,2023-07-21,161,101000.13,7
P000,Компания 0,627.33,481.16,2023-07-19,50,31366.500000000004,7
P000,Компания 0,627.33,481.16,2023-05-25,121,75906.93000000001,5
P000,Компания 0,627.33,481.16,2023-01-25,101,63360.33,1
P000,Компания 0,627.33,481.16,2023-06-15,201,126093.33,6
P000,Компания 0,627.33,481.16,2023-10-01,34,21329.22,10
P000,Компания 0,627.33,481.16,2023-04-11,488,306137.04000000004,4
P000,Компания 0,627.33,481.16,2023-09-18,196,122956.68000000001,9
P000,Компания 0,627.33,481.16,2023-08-17,182,114174.06000000001,8
P000,Компания 0,627.33,481.16,2023-01-26,52,32621.160000000003,1
P000,Компания 0,627.33,481.16,2023-06-10,280,175652.40000000002,6
P000,Компания 0,627.33,481.16,2023-03-21,229,143658.57,3
P000,Компания 0,627.33,481.16,2023-09-01,372,233366.76,9
P000,Компания 0,627.33,481.16,2023-12-10,48,30111.840000000004,12
P000,Компания 0,627.33,481.16,2023-04-25,24,15055.920000000002,4
P000,Компания 0,627.33,481.16,2023-11-13,77,48304.41,11
P000,Компания 0,627.33,481.16,2023-11-07,288,180671.04,11
P000,Компания 0,627.33,481.16,2023-12-16,128,80298.24,12
P000,Компания 0,627.33,481.16,2023-06-02,278,174397.74000000002,6
P000,Компания 0,627.33,481.16,2023-10-09,235,147422.55000000002,10
P000,Компания 0,627.33,481.16,2023-09-28,160,100372.8,9
P000,Компания 0,627.33,481.16,2023-06-02,289,181298.37000000002,6
P000,Компания 0,627.33,481.16,2023-05-07,453,284180.49,5
P000,Компания 0,627.33,481.16,2023-07-31,192,120447.36000000002,7
P000,Компания 0,627.33,481.16,2023-01-09,160,100372.8,1
P000,Компания 0,627.33,481.16,2023-10-16,339,212664.87000000002,10
P000,Компания 0,627.33,481.16,2023-11-14,210,131739.30000000002,11
P000,Компания 0,627.33,481.16,2023-11-19,262,164360.46000000002,11
P000,Компания 0,627.33,481.16,2023-01-09,97,60851.01,1
P000,Компания 0,627.33,481.16,2023-03-02,255,159969.15000000002,3
P000,Компания 0,627.33,481.16,2023-04-01,296,185689.68000000002,4
P000,Компания 0,627.33,481.16,2023-09-29,158,99118.14,9
P000,Компания 0,627.33,481.16,2023-06-09,365,228975.45,6
P000,Компания 0,627.33,481.16,2023-06-20,1,627.33,6
P000,Компания 0,627.33,481.16,2023-12-30,65,40776.450000000004,12
P000,Компания 0,627.33,481.16,2023-10-16,334,209528.22,10
P000,Компания 0,627.33,481.16,2023-04-01,496,311155.68,4
P000,Компания 0,627.33,481.16,2023-08-06,195,122329.35,8
P000,Компания 0,627.33,481.16,2023-02-25,29,18192.57,2
P000,Компания 0,627.33,481.16,2023-03-10,12,7527.960000000001,3
P000,Компания 0,627.33,481.16,2023-09-13,254,159341.82,9
P000,Компания 0,627.33,481.16,2023-01-16,121,75906.93000000001,1
P000,Компания 0,627.33,481.16,2023-12-21,266,166869.78,12
P000,Компания 0,627.33,481.16,2023-10-28,204,127975.32,10
P000,Компания 0,627.33,481.16,2023-07-03,212,132993.96000000002,7
P000,Компания 0,627.33,481.16,2023-06-28,149,93472.17000000001,6
P000,Компания 0,627.33,481.16,2023-02-09,419,262851.27,2
P000,Компания 0,627.33,481.16,2023-02-07,90,56459.700000000004,2
P000,Компания 0,627.33,481.16,2023-06-15,97,60851.01,6
P000,Компания 0,627.33,481.16,2023-04-03,52,32621.160000000003,4
P000,Компания 0,627.33,481.16,2023-10-31,423,265360.59,10
P000,Компания 0,627.33,481.16,2023-01-13,71,44540.43,1
P000,Компания 0,627.33,481.16,2023-01-20,146,91590.18000000001,1
P000,Компания 0,627.33,481.16,2023-12-22,251,157459.83000000002,12
P000,Компания 0,627.33,481.16,2023-05-11,391,245286.03000000003,5
P000,Компания 0,627.33,481.16,2023-02-27,83,52068.39000000001,2
